source_index,target_index,source_value,target_value,source_stream,target_stream,spatial_weight
37,43,39,45,lpf_odd_composite,lpf_odd_composite,0.29760032892227173
37,76,39,78,lpf_odd_composite,mixed_even_composite,0.27910035848617554
38,40,40,42,mixed_even_composite,mixed_even_composite,0.3455747663974762
38,78,40,80,mixed_even_composite,mixed_even_composite,0.3944321870803833
39,41,41,43,first_order_odd,first_order_odd,0.2170770764350891
39,80,41,82,first_order_odd,mixed_even_composite,0.20346210896968842
39,148,41,164,first_order_odd,mixed_even_composite,0.11030644178390503
40,42,42,44,mixed_even_composite,mixed_even_composite,0.3947439193725586
40,82,42,84,mixed_even_composite,mixed_even_composite,0.3944322466850281
41,45,43,47,first_order_odd,first_order_odd,0.356422483921051
41,84,43,86,first_order_odd,mixed_even_composite,0.19616550207138062
41,155,43,172,first_order_odd,mixed_even_composite,0.10743317008018494
42,44,44,46,mixed_even_composite,mixed_even_composite,0.4104493260383606
42,86,44,88,mixed_even_composite,mixed_even_composite,0.3944321274757385
43,47,45,49,lpf_odd_composite,lpf_odd_composite,0.21862374246120453
43,88,45,90,lpf_odd_composite,mixed_even_composite,0.2790934145450592
44,46,46,48,mixed_even_composite,mixed_even_composite,0.2825102210044861
44,90,46,92,mixed_even_composite,mixed_even_composite,0.39443233609199524
45,51,47,53,first_order_odd,first_order_odd,0.21644681692123413
45,92,47,94,first_order_odd,mixed_even_composite,0.19588220119476318
46,48,48,50,mixed_even_composite,mixed_even_composite,0.2911930978298187
46,94,48,96,mixed_even_composite,mixed_even_composite,0.39443233609199524
47,49,49,51,lpf_odd_composite,lpf_odd_composite,0.2845720648765564
47,95,49,98,lpf_odd_composite,mixed_even_composite,0.26630428433418274
48,50,50,52,mixed_even_composite,mixed_even_composite,0.3974267542362213
48,97,50,100,mixed_even_composite,mixed_even_composite,0.39443233609199524
49,53,51,55,lpf_odd_composite,lpf_odd_composite,0.2897586524486542
49,98,51,102,lpf_odd_composite,mixed_even_composite,0.27908748388290405
50,52,52,54,mixed_even_composite,mixed_even_composite,0.4109274446964264
50,99,52,104,mixed_even_composite,mixed_even_composite,0.3944321274757385
51,57,53,59,first_order_odd,first_order_odd,0.2168022096157074
51,101,53,106,first_order_odd,mixed_even_composite,0.19895616173744202
