node_index,value,stream_kind,domain,axis,dyadic_depth,least_prime_factor,cofactor,source_prime_index,x_number_magnitude,y_stream_kind,z_axis_depth
121,130,mixed_even_composite,E,E1,1,5,65,2,0.8599802255630493,1.0,0.09690368175506592
122,132,mixed_even_composite,E,E2,2,3,33,1,0.8667829036712646,1.0,0.1850574016571045
123,133,lpf_odd_composite,O,O4,0,7,19,3,0.8701455593109131,0.3333333432674408,0.5697571039199829
124,134,mixed_even_composite,E,E1,1,,67,18,0.8734833002090454,1.0,0.10471951961517334
125,135,lpf_odd_composite,O,O2,0,3,45,1,0.8767961263656616,0.3333333432674408,0.26419830322265625
126,136,mixed_even_composite,E,E3,3,,17,6,0.8800843954086304,1.0,0.2803601026535034
127,138,mixed_even_composite,E,E1,1,3,69,1,0.8865891695022583,1.0,0.11230874061584473
128,140,mixed_even_composite,E,E2,2,5,35,2,0.8930002450942993,1.0,0.20002222061157227
129,141,lpf_odd_composite,O,O2,0,3,47,1,0.8961716890335083,0.3333333432674408,0.2753409147262573
130,142,mixed_even_composite,E,E1,1,,71,19,0.8993207216262817,1.0,0.11968433856964111
131,143,lpf_odd_composite,O,O5,0,11,13,4,0.9024474620819092,0.3333333432674408,0.7381875514984131
132,144,mixed_even_composite,E,E4,4,3,9,1,0.9055525064468384,1.0,0.3882826566696167
133,145,lpf_odd_composite,O,O3,0,5,29,2,0.9086359739303589,0.3333333432674408,0.4141005277633667
134,146,mixed_even_composite,E,E1,1,,73,20,0.9116984605789185,1.0,0.12685775756835938
135,147,lpf_odd_composite,O,O2,0,3,49,1,0.9147398471832275,0.3333333432674408,0.2860286235809326
136,148,mixed_even_composite,E,E2,2,,37,11,0.9177606105804443,1.0,0.21417760848999023
137,150,mixed_even_composite,E,E1,1,3,75,1,0.9237414598464966,1.0,0.13383972644805908
138,152,mixed_even_composite,E,E3,3,,19,7,0.9296431541442871,1.0,0.30794477462768555
139,153,lpf_odd_composite,O,O2,0,3,51,1,0.9325649738311768,0.3333333432674408,0.29629695415496826
140,154,mixed_even_composite,E,E1,1,7,77,3,0.9354676008224487,1.0,0.1406404972076416
141,155,lpf_odd_composite,O,O3,0,5,31,2,0.9383516311645508,0.3333333432674408,0.43099749088287354
142,156,mixed_even_composite,E,E2,2,3,39,1,0.9412170648574829,1.0,0.2276068925857544
143,158,mixed_even_composite,E,E1,1,,79,21,0.9468930959701538,1.0,0.14726901054382324
144,159,lpf_odd_composite,O,O2,0,3,53,1,0.9497044086456299,0.3333333432674408,0.3061779737472534
145,160,mixed_even_composite,E,E5,5,,5,2,0.9524979591369629,1.0,0.5163545608520508
146,161,lpf_odd_composite,O,O4,0,7,23,3,0.9552739858627319,0.3333333432674408,0.6174912452697754
147,162,mixed_even_composite,E,E1,1,3,81,1,0.9580329656600952,1.0,0.15373384952545166
148,164,mixed_even_composite,E,E2,2,,41,12,0.9635001420974731,1.0,0.24038076400756836
149,165,lpf_odd_composite,O,O2,0,3,55,1,0.966208815574646,0.3333333432674408,0.3156994581222534
150,166,mixed_even_composite,E,E1,1,,83,22,0.9689010381698608,1.0,0.16004276275634766
151,168,mixed_even_composite,E,E3,3,3,21,1,0.9742372035980225,1.0,0.3328981399536133
152,169,lpf_odd_composite,O,O6,0,13,13,5,0.9768816232681274,0.3333333432674408,1.0
153,170,mixed_even_composite,E,E1,1,5,85,2,0.9795104265213013,1.0,0.16620337963104248
154,171,lpf_odd_composite,O,O2,0,3,57,1,0.9821237325668335,0.3333333432674408,0.3248867988586426
155,172,mixed_even_composite,E,E2,2,,43,13,0.9847216606140137,1.0,0.25256025791168213
156,174,mixed_even_composite,E,E1,1,3,87,1,0.989872932434082,1.0,0.17222237586975098
157,175,lpf_odd_composite,O,O3,0,5,35,2,0.9924262762069702,0.3333333432674408,0.46183454990386963
158,176,mixed_even_composite,E,E4,4,,11,4,0.9949651956558228,1.0,0.43601667881011963
159,177,lpf_odd_composite,O,O2,0,3,59,1,0.9974896907806396,0.3333333432674408,0.33376264572143555
160,178,mixed_even_composite,E,E1,1,,89,23,1.0,1.0,0.17810606956481934
