radius,radius_kpc,observed_velocity,observed_velocity_kms,velocity_uncertainty,velocity_uncertainty_kms,tne_prediction,baseline_prediction,flat_baseline_prediction,linear_baseline_prediction,smoothed_empirical_reference,tne_residual,baseline_residual,galaxy_id,best_arm_mode,baseline_winner,source_status
0.03652450090744102,1.61,0.4382165605095541,68.8,0.048471337579617836,7.61,0.6115063782880497,0.6640144838156478,0.7941878980891719,0.6640144838156478,0.40594479830148616,0.17328981777849556,0.22579792330609366,NGC3198,4,linear_rotation_baseline,fetched
0.04378402903811252,1.93,0.4898089171974523,76.9,0.06560509554140127,10.3,0.6115063782880497,0.6673610905227768,0.7941878980891719,0.6673610905227768,0.4938428874734607,0.12169746109059737,0.17755217332532452,NGC3198,4,linear_rotation_baseline,fetched
0.058303085299455534,2.57,0.5535031847133758,86.9,0.04840764331210191,7.6,0.6115063782880497,0.6740543039370349,0.7941878980891719,0.6740543039370349,0.5600849256900212,0.05800319357467387,0.12055111922365913,NGC3198,4,linear_rotation_baseline,fetched
0.07282214156079855,3.21,0.6369426751592356,100.0,0.03382165605095541,5.31,0.6115063782880497,0.6807475173512931,0.7941878980891719,0.6807475173512931,0.6367303609341826,-0.02543629687118598,0.04380484219205749,NGC3198,4,linear_rotation_baseline,fetched
0.08734119782214157,3.85,0.7197452229299363,113.0,0.04662420382165605,7.32,0.6115063782880497,0.6874407307655512,0.7941878980891719,0.6874407307655512,0.7048832271762208,-0.1082388446418866,-0.032304492164385024,NGC3198,4,linear_rotation_baseline,fetched
0.10208711433756806,4.5,0.7579617834394905,119.0,0.03611464968152866,5.67,0.6115063782880497,0.6942385256394071,0.7941878980891719,0.6942385256394071,0.772823779193206,-0.14645540515144084,-0.06372325780008337,NGC3198,4,linear_rotation_baseline,fetched
0.11683303085299457,5.15,0.8407643312101911,132.0,0.027643312101910827,4.34,0.6357083072860648,0.701036320513263,0.7941878980891719,0.701036320513263,0.8174097664543525,-0.20505602392412636,-0.13972801069692808,NGC3198,4,linear_rotation_baseline,fetched
0.12386569872958259,5.46,0.8535031847133758,134.0,0.01503184713375796,2.36,0.6522870474704366,0.7042783457607944,0.7941878980891719,0.7042783457607944,0.861995753715499,-0.20121613724293919,-0.14922483895258143,NGC3198,4,linear_rotation_baseline,fetched
0.1383847549909256,6.1,0.89171974522293,140.0,0.01808917197452229,2.84,0.6865141239801078,0.7109715591750525,0.7941878980891719,0.7109715591750525,0.8874734607218684,-0.20520562124282216,-0.18074818604787746,NGC3198,4,linear_rotation_baseline,fetched
0.15290381125226862,6.74,0.9171974522292994,144.0,0.007834394904458598,1.23,0.720741200489779,0.7176647725893106,0.7941878980891719,0.7176647725893106,0.9150743099787686,-0.19645625173952042,-0.19953267963998877,NGC3198,4,linear_rotation_baseline,fetched
