index,prime,gap,motif,run,domain
261,1663,6.0,E2.0,70,E2
262,1667,4.0,E1.1,58,E1
263,1669,2.0,E1.0,53,E1
264,1693,24.0,E4.0,1,E4
265,1697,4.0,E1.1,59,E1
266,1699,2.0,E1.0,54,E1
267,1709,10.0,E2.1,26,E2
268,1721,12.0,E3.0,16,E3
269,1723,2.0,E1.0,55,E1
270,1733,10.0,E2.1,27,E2
271,1741,8.0,E1.2,24,E1
272,1747,6.0,E2.0,71,E2
273,1753,6.0,E2.0,72,E2
274,1759,6.0,E2.0,73,E2
275,1777,18.0,E2.3,5,E2
276,1783,6.0,E2.0,74,E2
277,1787,4.0,E1.1,60,E1
278,1789,2.0,E1.0,56,E1
279,1801,12.0,E3.0,17,E3
280,1811,10.0,E2.1,28,E2
281,1823,12.0,E3.0,18,E3
282,1831,8.0,E1.2,25,E1
283,1847,16.0,E1.3,1,E1
284,1861,14.0,E2.2,10,E2
285,1867,6.0,E2.0,75,E2
286,1871,4.0,E1.1,61,E1
287,1873,2.0,E1.0,57,E1
288,1877,4.0,E1.1,62,E1
289,1879,2.0,E1.0,58,E1
290,1889,10.0,E2.1,29,E2
291,1901,12.0,E3.0,19,E3
292,1907,6.0,E2.0,76,E2
293,1913,6.0,E2.0,77,E2
294,1931,18.0,E2.3,6,E2
295,1933,2.0,E1.0,59,E1
296,1949,16.0,E1.3,2,E1
297,1951,2.0,E1.0,60,E1
298,1973,22.0,E2.4,2,E2
299,1979,6.0,E2.0,78,E2
300,1987,8.0,E1.2,26,E1
301,1993,6.0,E2.0,79,E2
302,1997,4.0,E1.1,63,E1
303,1999,2.0,E1.0,61,E1
304,2003,4.0,E1.1,64,E1
305,2011,8.0,E1.2,27,E1
306,2017,6.0,E2.0,80,E2
307,2027,10.0,E2.1,30,E2
308,2029,2.0,E1.0,62,E1
309,2039,10.0,E2.1,31,E2
310,2053,14.0,E2.2,11,E2
311,2063,10.0,E2.1,32,E2
312,2069,6.0,E2.0,81,E2
313,2081,12.0,E3.0,20,E3
314,2083,2.0,E1.0,63,E1
315,2087,4.0,E1.1,65,E1
316,2089,2.0,E1.0,64,E1
317,2099,10.0,E2.1,33,E2
318,2111,12.0,E3.0,21,E3
319,2113,2.0,E1.0,65,E1
320,2129,16.0,E1.3,3,E1
321,2131,2.0,E1.0,66,E1
322,2137,6.0,E2.0,82,E2
323,2141,4.0,E1.1,66,E1
324,2143,2.0,E1.0,67,E1
325,2153,10.0,E2.1,34,E2
326,2161,8.0,E1.2,28,E1
327,2179,18.0,E2.3,7,E2
328,2203,24.0,E4.0,2,E4
329,2207,4.0,E1.1,67,E1
330,2213,6.0,E2.0,83,E2
331,2221,8.0,E1.2,29,E1
332,2237,16.0,E1.3,4,E1
333,2239,2.0,E1.0,68,E1
334,2243,4.0,E1.1,68,E1
335,2251,8.0,E1.2,30,E1
336,2267,16.0,E1.3,5,E1
337,2269,2.0,E1.0,69,E1
338,2273,4.0,E1.1,69,E1
339,2281,8.0,E1.2,31,E1
340,2287,6.0,E2.0,84,E2
341,2293,6.0,E2.0,85,E2
342,2297,4.0,E1.1,70,E1
343,2309,12.0,E3.0,22,E3
344,2311,2.0,E1.0,70,E1
345,2333,22.0,E2.4,3,E2
346,2339,6.0,E2.0,86,E2
347,2341,2.0,E1.0,71,E1
348,2347,6.0,E2.0,87,E2
349,2351,4.0,E1.1,71,E1
350,2357,6.0,E2.0,88,E2
351,2371,14.0,E2.2,12,E2
352,2377,6.0,E2.0,89,E2
353,2381,4.0,E1.1,72,E1
354,2383,2.0,E1.0,72,E1
355,2389,6.0,E2.0,90,E2
356,2393,4.0,E1.1,73,E1
357,2399,6.0,E2.0,91,E2
358,2411,12.0,E3.0,23,E3
359,2417,6.0,E2.0,92,E2
360,2423,6.0,E2.0,93,E2
361,2437,14.0,E2.2,13,E2
362,2441,4.0,E1.1,74,E1
363,2447,6.0,E2.0,94,E2
364,2459,12.0,E3.0,24,E3
365,2467,8.0,E1.2,32,E1
366,2473,6.0,E2.0,95,E2
367,2477,4.0,E1.1,75,E1
368,2503,26.0,E2.5,1,E2
369,2521,18.0,E2.3,8,E2
370,2531,10.0,E2.1,35,E2
371,2539,8.0,E1.2,33,E1
372,2543,4.0,E1.1,76,E1
373,2549,6.0,E2.0,96,E2
374,2551,2.0,E1.0,73,E1
375,2557,6.0,E2.0,97,E2
376,2579,22.0,E2.4,4,E2
377,2591,12.0,E3.0,25,E3
378,2593,2.0,E1.0,74,E1
379,2609,16.0,E1.3,6,E1
380,2617,8.0,E1.2,34,E1
381,2621,4.0,E1.1,77,E1
382,2633,12.0,E3.0,26,E3
383,2647,14.0,E2.2,14,E2
384,2657,10.0,E2.1,36,E2
385,2659,2.0,E1.0,75,E1
386,2663,4.0,E1.1,78,E1
387,2671,8.0,E1.2,35,E1
388,2677,6.0,E2.0,98,E2
389,2683,6.0,E2.0,99,E2
390,2687,4.0,E1.1,79,E1
391,2689,2.0,E1.0,76,E1
392,2693,4.0,E1.1,80,E1
393,2699,6.0,E2.0,100,E2
394,2707,8.0,E1.2,36,E1
395,2711,4.0,E1.1,81,E1
396,2713,2.0,E1.0,77,E1
397,2719,6.0,E2.0,101,E2
398,2729,10.0,E2.1,37,E2
399,2731,2.0,E1.0,78,E1
400,2741,10.0,E2.1,38,E2
401,2749,8.0,E1.2,37,E1
402,2753,4.0,E1.1,82,E1
403,2767,14.0,E2.2,15,E2
404,2777,10.0,E2.1,39,E2
405,2789,12.0,E3.0,27,E3
406,2791,2.0,E1.0,79,E1
407,2797,6.0,E2.0,102,E2
408,2801,4.0,E1.1,83,E1
409,2803,2.0,E1.0,80,E1
410,2819,16.0,E1.3,7,E1
411,2833,14.0,E2.2,16,E2
412,2837,4.0,E1.1,84,E1
413,2843,6.0,E2.0,103,E2
414,2851,8.0,E1.2,38,E1
415,2857,6.0,E2.0,104,E2
416,2861,4.0,E1.1,85,E1
417,2879,18.0,E2.3,9,E2
418,2887,8.0,E1.2,39,E1
419,2897,10.0,E2.1,40,E2
420,2903,6.0,E2.0,105,E2
421,2909,6.0,E2.0,106,E2
422,2917,8.0,E1.2,40,E1
423,2927,10.0,E2.1,41,E2
424,2939,12.0,E3.0,28,E3
425,2953,14.0,E2.2,17,E2
426,2957,4.0,E1.1,86,E1
427,2963,6.0,E2.0,107,E2
428,2969,6.0,E2.0,108,E2
429,2971,2.0,E1.0,81,E1
430,2999,28.0,E3.2,1,E3
431,3001,2.0,E1.0,82,E1
432,3011,10.0,E2.1,42,E2
433,3019,8.0,E1.2,41,E1
434,3023,4.0,E1.1,87,E1
435,3037,14.0,E2.2,18,E2
436,3041,4.0,E1.1,88,E1
437,3049,8.0,E1.2,42,E1
438,3061,12.0,E3.0,29,E3
439,3067,6.0,E2.0,109,E2
440,3079,12.0,E3.0,30,E3
441,3083,4.0,E1.1,89,E1
442,3089,6.0,E2.0,110,E2
443,3109,20.0,E3.1,3,E3
444,3119,10.0,E2.1,43,E2
445,3121,2.0,E1.0,83,E1
446,3137,16.0,E1.3,8,E1
