day,avg_relative_entropy
322,0.0005210061425686558
323,0.0008439462252228149
324,0.023602345392282596
325,0.0029592066596837753
326,0.0011761194353836274
327,-0.18800622543208165
328,0.001118532225847846
329,0.0010405909923748553
330,0.0005044498091746092
331,0.0014037037581736763
332,0.00043470177284519107
333,0.0001483325506340997
334,0.0002983634341656836
335,9.028121704920788e-05
336,4.818258633232442e-05
337,3.9598836711131786e-05
338,4.653697124675412e-05
339,6.963453337359656e-05
340,7.853491570822659e-05
341,6.20224620919143e-05
342,3.2911333981036305e-05
343,3.57572460419857e-05
344,4.7577581645673956e-05
345,5.037896298380645e-05
346,3.490919881778706e-05
347,2.1280611302262854e-05
348,2.2204952470016746e-05
349,2.0804946119474702e-05
350,1.767641376141195e-05
351,1.1310684820547644e-05
352,1.0030590463631588e-05
353,8.886786730169193e-06
354,7.662511419639102e-06
355,6.416629516561979e-06
356,7.04373135636121e-06
357,6.331884124805032e-06
358,5.606079164601281e-06
359,5.5632396550087294e-06
360,6.0817374357965355e-06
361,6.057745832461127e-06
362,5.646167739937004e-06
363,5.499216824534963e-06
364,4.372024394843273e-06
